Name	Type	Structure	Donor	Clonal lineage	Isolation paper(Pubmed ID)	Neutralizing antibody feature	Light chain type	# of viruses tested
VRC01-8fH/10fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-8fH/19fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01-8fH/6fL	gp120 CD4BS		NIH45	VRC01	Georgiev2014(24391217) 			21
VRC01/PGDM1400-10E8v4	gp120 CD4BS;gp120 V2 // V2 glycan(V2g) // V2 apex;gp41 MPER (membrane proximal external region)				Xu2017(28931639) 			208
VRC02	gp120 CD4BS		NIH45	VRC01 	Wu2010(20616233) 	VRC02 signature predictions (West2013)	K	208
VRC03	gp120 CD4BS	5JXA(Ligand-free VRC03 antigen-binding fragment);3SE8(VRC03 complexed with gp120);5JOF(VRC03 gHVgLV antigen-binding fragment)	NIH45	VRC01	Wu2010(20616233) 	VRC03 contacts;VRC03 signature predictions (West2013)	K	363
VRC06	gp120 CD4BS	4JB9(VRC06 in complex with HIV-1 gp120 core)	NIH45	VRC01	Li2012(22875963) 		K	181
VRC06b	gp120 CD4BS	4XNZ(VRC06B in complex with HIV-1 clade A/E strain 93TH057 gp120)	NIH45	VRC01	Li2012(22875963) 		K	231
VRC07	gp120 CD4BS	4OLV(VRC07-G54F in complex with 93TH057 gp120);4OLW(VRC07-G54H in complex with 93TH057 gp120);4OLX(VRC07-G54L in complex with 93TH057 gp120);4OLY(VRC07-G54R in complex with 93TH057 gp120);4OLZ(VRC07-G54W in complex with 93TH057 gp120);4OM0(VRC07-G54Y in complex with 93TH057 gp120);4OM1(VRC07-I30Q, G54W, S58N in complex with 93TH057 gp120);4OLU(VRC07 in complex with 93TH057 gp120)	NIH45	VRC01	Rudicell2014(25142607) 		K	398
VRC07-501-LS	gp120 CD4BS		NIH45		Rudicell2014(25142607) 			179
VRC07-508-LS	gp120 CD4BS		NIH45		Rudicell2014(25142607) 			179
VRC07-523-LS	gp120 CD4BS		NIH45		Rudicell2014(25142607) 			405
VRC07-544-LS	gp120 CD4BS		NIH45		Rudicell2014(25142607) 			179
VRC07xPG9-16	gp120 CD4BS;gp120 V2 // V2 glycan(V2g) // V2 apex		Donor 24,NIH45		Asokan2015(26446600) 			22
VRC13	gp120 CD4BS	4YDJ(44-VRC13.01 in complex with HIV-1 clade AE strain 93TH057 gp120)	44		Zhou2015(26004070) 	VRC13 contacts	L	387
VRC16	gp120 CD4BS	4YDK(C38-VRC16.01 in complex with HIV-1 clade AE strain 93TH057 gp120)	C38		Zhou2015(26004070) 	VRC16 contacts	K	227
VRC18	gp120 CD4BS	4YDL(C38-VRC18.02 in complex with HIV-1 clade AE strain 93TH057 gp120)	C38		Zhou2015(26004070) 	VRC18 contacts	K	175
VRC21.01	gp120 V3 // V3 glycan (V3g)		N170	VRC21	Longo2016(27654288) 		L	28
VRC21.02	gp120 V3 // V3 glycan (V3g)		N170	VRC21	Longo2016(27654288) 		L	28
VRC22.01	gp120 V3 // V3 glycan (V3g)		N170		Longo2016(27654288) 		K	208
VRC23	gp120 CD4BS	4J6R(VRC23 in complex with HIV-1 gp120)	127/C		Georgiev2013(23661761) 		K	180
VRC23b	gp120 CD4BS		127/C		Georgiev2013(23661761) 		K	25
VRC24	gp120 V3 // V3 glycan (V3g)		N27		Georgiev2013(23661761) 		L	57
VRC26.01	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4OCR(Fab CAP256-VRC26.01)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	191
VRC26.02	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.03	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4OD1(Fab CAP256-VRC26.03)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	203
VRC26.04	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4ORG(Fab CAP256-VRC26.04)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.05	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.06	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4OCW(Fab CAP256-VRC26.06)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	206
VRC26.07	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4OD3(Fab CAP256-VRC26.07, a potent V1V2-directed HIV-1 neutralizing antibody)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.08	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	416
VRC26.09	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites;VRC26.09 escape mutations	L	172
VRC26.10	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	4OCS(Fab CAP256-VRC26.10)	CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.11	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.12	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2014(24590074) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	56
VRC26.13	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.14	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.15	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.16	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.17	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.18	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.19	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.20	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	48
VRC26.21	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.22	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.23	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.24	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	48
VRC26.25	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure	5DT1(Fab CAP256-VRC26.25)	CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites;VRC26.25 neutralization associated sites	L	410
VRC26.26	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	248
VRC26.27	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	203
VRC26.28	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.29	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.30	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.31	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.32	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC26.33	gp120 V2 // V2 glycan(V2g) // V2 apex;quaternary structure		CAP256	VRC26	Doria-Rose2016(26468542) 	CAP256-VRC26 lineage epitope;CAP256-VRC26 lineage escape mutations;CAP256-VRC26 lineage neutralization-associated sites	L	53
VRC27	gp120 CD4BS	4YDI(Z258-VRC27.01 in complex with HIV-1 gp120 from clade A strain Q23.17)	Z258		Zhou2015(26004070) 	VRC27 alanine scanning;VRC27 contacts	K	180
VRC28.01	gp120 V3 // V3 glycan (V3g)		N170		Longo2016(27654288) 		K	28
VRC29.01	gp120 V3 // V3 glycan (V3g)		N170	VRC29	Longo2016(27654288) 		K	28
VRC29.02	gp120 V3 // V3 glycan (V3g)		N170	VRC29	Longo2016(27654288) 		K	28
VRC29.03	gp120 V3 // V3 glycan (V3g)		N170	VRC29	Longo2016(27654288) 		K	208
VRC29.04	gp120 V3 // V3 glycan (V3g)		N170	VRC29	Longo2016(27654288) 		K	28
VRC34.01	fusion peptide // near gp41-gp120 interface	5I8C(BG505 Fusion Peptide in Complex with VRC34.01 Fab);5I8H(BG505 SOSIP.664 Prefusion Env Trimer in Complex with PGT122 Fab and VRC34.01 Fab);5I8E(VRC34.01 Fab)	N123	VRC34	Kong2016a(27174988) 	Mutation reduces binding, reduces neutralization, or confers escape from fusion peptide directed Mabs;Sites affecting neutralization of VRC34;VRC34.01 mutations affect neutralization	K	208
VRC34YD.01	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.02	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.03	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.04	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.05	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.06	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC34YD.07	gp41 fusion domain		N123	VRC34	Wang2018(29309060) 			22
VRC38.01	gp120 V1-V2	5EWI(Fab VRC38.01);5VGJ(Fab VRC38.01 bound to a scaffolded WITO V1V2 domain)	N90	VRC38	Cale2017(28514685) 	Mutation affects neutralization by V1V2 glycan mAbs;VRC38.01 contacts	K	246
VRC38.02	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.03	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.04	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.05	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.06	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.07	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.08	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	30
VRC38.09	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.10	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.11	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 		K	31
VRC38.12	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 			31
VRC38.13	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 			31
VRC38.14	gp120 V1-V2		N90	VRC38	Cale2017(28514685) 			31
VRC41.01	gp120 V3 // V3 glycan (V3g)		CH765	VRC41	Alam2017(28298421) 	Mutation affects neutralization of V3 mAbs	K	127
VRC41.02	gp120 V3 // V3 glycan (V3g)		CH765	VRC41	Alam2017(28298421) 	Mutation affects neutralization of V3 mAbs	K	34
VRC-CH30	gp120 CD4BS		CH0219	VRC-CH31	Wu2011(21835983) 		K	20
VRC-CH31	gp120 CD4BS	4LSP(VRC-CH31 complexed with gp120 (93TH057));4LSQ(VRC-CH31 complexed with gp120 (93TH057/3514 chimera));4LSR(VRC-CH31 complexed with gp120 (93TH057/KER2008 chimera))	CH0219	VRC-CH31	Wu2011(21835983) 	VRC-CH31 signature predictions (West2013)	K	285
VRC-CH32	gp120 CD4BS		CH0219	VRC-CH31	Wu2011(21835983) 		K	20
VRC-CH33	gp120 CD4BS		CH0219	VRC-CH31	Wu2011(21835983) 		K	20
VRC-CH34	gp120 CD4BS		CH0219	VRC-CH31	Wu2011(21835983) 		K	20
VRC-PG04	gp120 CD4BS	3J5M(BG505 Env trimer with 3 PGV04 Fabs);4I3S(gp120 complexed with VRC-PG04 space group P21);4I3R(gp120 complexed with VRC-PG04 space group P3221);EMD-7107(PC64M4c054 SOSIP in complex with PGV04 Fab);EMD-8302(SOSIP trimer from patient AMC011 in complex with Fab from IgG PGV04);3SE9(VRC-PG04 complexed with gp120)	Donor 74	VRC-PG04 	Wu2011(21835983) 	Mutation affects PGV04, b12, VRC01, CD4-IgG neutralization;Mutation decreases binding to CD4BS mAbs;VRC-PG04 alanine scanning;VRC-PG04 contacts;VRC-PG04 signature predictions (West2013)	K	447
VRC-PG04b	gp120 CD4BS		Donor 74	VRC-PG04 	Wu2011(21835983) 	VRC-PG04b signature predictions (West2013)	K	178
VRC-PG05	gp120 CD4BS		Donor 74		Mascola2012() 		K	181
VRC-PG19	gp120 V2-CD4BS		IAVI 23		Zhou2013a(23911655) 		L	20
VRC-PG20	gp120 CD4BS	4LSU(VRC-PG20 in complex with HIV-1 clade A/E 93TH057 gp120)	IAVI 23		Zhou2013a(23911655) 		L	183
Y498	gp120 CD4BS		XJ1981		Sun2017(28968970) 	Mutation decreases binding of Y498;Mutation reduces binding of Y498	K	70
Z13e1	gp41 MPER (membrane proximal external region)	3FN0(Fab Z13e1 in complex with a 12-residue peptide containing the Z13e1 epitope on gp41);3Q1S(Z13e1 in complex with epitope display protein)	FDA2		Nelson2007(17287272) 	Mutation affects Z13e1 binding;Z13e1 contacts	L	113
